month_label,entity_id,display_id,acquisition_date,year,month,satellite,cloud_cover,wrs_path,wrs_row
2022-04,LC08_L2SP_144051_20220406_02_T1,LC08_L2SP_144051_20220406_02_T1,2022-04-06,2022,4,Landsat 8,0.63,144,51
2022-06,LC08_L2SP_144051_20220609_02_T1,LC08_L2SP_144051_20220609_02_T1,2022-06-09,2022,6,Landsat 8,12.45,144,51
2022-10,LC08_L2SP_144051_20221031_02_T1,LC08_L2SP_144051_20221031_02_T1,2022-10-31,2022,10,Landsat 8,2.43,144,51
2023-01,LC09_L2SP_144051_20230111_02_T1,LC09_L2SP_144051_20230111_02_T1,2023-01-11,2023,1,Landsat 9,0.04,144,51
2023-02,LC09_L2SP_144051_20230212_02_T1,LC09_L2SP_144051_20230212_02_T1,2023-02-12,2023,2,Landsat 9,0.78,144,51
2023-03,LC08_L2SP_144051_20230324_02_T1,LC08_L2SP_144051_20230324_02_T1,2023-03-24,2023,3,Landsat 8,11.69,144,51
2023-04,LC09_L2SP_144051_20230417_02_T1,LC09_L2SP_144051_20230417_02_T1,2023-04-17,2023,4,Landsat 9,0.1,144,51
2023-05,LC08_L2SP_144051_20230527_02_T1,LC08_L2SP_144051_20230527_02_T1,2023-05-27,2023,5,Landsat 8,1.09,144,51
2023-08,LC08_L2SP_144051_20230815_02_T1,LC08_L2SP_144051_20230815_02_T1,2023-08-15,2023,8,Landsat 8,9.91,144,51
2023-10,LC08_L2SP_144051_20231018_02_T1,LC08_L2SP_144051_20231018_02_T1,2023-10-18,2023,10,Landsat 8,0.69,144,51
2023-11,LC09_L2SP_144051_20231111_02_T1,LC09_L2SP_144051_20231111_02_T1,2023-11-11,2023,11,Landsat 9,0.24,144,51
2024-01,LC09_L2SP_144051_20240114_02_T1,LC09_L2SP_144051_20240114_02_T1,2024-01-14,2024,1,Landsat 9,0.46,144,51
2024-02,LC08_L2SP_144051_20240207_02_T1,LC08_L2SP_144051_20240207_02_T1,2024-02-07,2024,2,Landsat 8,0.0,144,51
2024-03,LC08_L2SP_144051_20240326_02_T1,LC08_L2SP_144051_20240326_02_T1,2024-03-26,2024,3,Landsat 8,0.04,144,51
2024-04,LC08_L2SP_144051_20240427_02_T1,LC08_L2SP_144051_20240427_02_T1,2024-04-27,2024,4,Landsat 8,0.0,144,51
2024-05,LC09_L2SP_144051_20240505_02_T1,LC09_L2SP_144051_20240505_02_T1,2024-05-05,2024,5,Landsat 9,0.02,144,51
2024-09,LC08_L2SP_144051_20240918_02_T1,LC08_L2SP_144051_20240918_02_T1,2024-09-18,2024,9,Landsat 8,4.24,144,51
2024-10,LC09_L2SP_144051_20241028_02_T1,LC09_L2SP_144051_20241028_02_T1,2024-10-28,2024,10,Landsat 9,4.48,144,51
2024-11,LC08_L2SP_144051_20241105_02_T1,LC08_L2SP_144051_20241105_02_T1,2024-11-05,2024,11,Landsat 8,11.05,144,51
2024-12,LC09_L2SP_144051_20241231_02_T1,LC09_L2SP_144051_20241231_02_T1,2024-12-31,2024,12,Landsat 9,0.12,144,51
2025-01,LC08_L2SP_144051_20250108_02_T1,LC08_L2SP_144051_20250108_02_T1,2025-01-08,2025,1,Landsat 8,2.67,144,51
2025-02,LC09_L2SP_144051_20250217_02_T1,LC09_L2SP_144051_20250217_02_T1,2025-02-17,2025,2,Landsat 9,0.0,144,51
2025-03,LC08_L2SP_144051_20250329_02_T1,LC08_L2SP_144051_20250329_02_T1,2025-03-29,2025,3,Landsat 8,0.28,144,51
2025-04,LC08_L2SP_144051_20250414_02_T1,LC08_L2SP_144051_20250414_02_T1,2025-04-14,2025,4,Landsat 8,0.92,144,51
2025-05,LC09_L2SP_144051_20250508_02_T1,LC09_L2SP_144051_20250508_02_T1,2025-05-08,2025,5,Landsat 9,5.73,144,51
2025-10,LC08_L2SP_144051_20251007_02_T1,LC08_L2SP_144051_20251007_02_T1,2025-10-07,2025,10,Landsat 8,13.42,144,51
2025-11,LC09_L2SP_144051_20251116_02_T1,LC09_L2SP_144051_20251116_02_T1,2025-11-16,2025,11,Landsat 9,13.56,144,51
2025-12,LC08_L2SP_144051_20251210_02_T1,LC08_L2SP_144051_20251210_02_T1,2025-12-10,2025,12,Landsat 8,0.1,144,51
2026-01,LC09_L2SP_144051_20260119_02_T1,LC09_L2SP_144051_20260119_02_T1,2026-01-19,2026,1,Landsat 9,0.54,144,51
2026-02,LC08_L2SP_144051_20260212_02_T1,LC08_L2SP_144051_20260212_02_T1,2026-02-12,2026,2,Landsat 8,0.05,144,51
2026-03,LC09_L2SP_144051_20260308_02_T1,LC09_L2SP_144051_20260308_02_T1,2026-03-08,2026,3,Landsat 9,0.96,144,51
2026-04,LC08_L2SP_144051_20260401_02_T1,LC08_L2SP_144051_20260401_02_T1,2026-04-01,2026,4,Landsat 8,0.23,144,51
2026-05,LC08_L2SP_144051_20260503_02_T1,LC08_L2SP_144051_20260503_02_T1,2026-05-03,2026,5,Landsat 8,14.38,144,51
2026-06,LC08_L2SP_144051_20260604_02_T1,LC08_L2SP_144051_20260604_02_T1,2026-06-04,2026,6,Landsat 8,14.37,144,51
