entity_id,display_id,acquisition_date,year,month,month_label,satellite,cloud_cover,wrs_path,wrs_row
LC08_L2SP_144051_20200331_02_T1,LC08_L2SP_144051_20200331_02_T1,2020-03-31,2020,3,2020-03,Landsat 8,0.01,144,51
LC08_L2SP_144051_20200416_02_T1,LC08_L2SP_144051_20200416_02_T1,2020-04-16,2020,4,2020-04,Landsat 8,1.37,144,51
LC08_L2SP_144051_20200502_02_T1,LC08_L2SP_144051_20200502_02_T1,2020-05-02,2020,5,2020-05,Landsat 8,1.97,144,51
LC08_L2SP_144051_20200721_02_T1,LC08_L2SP_144051_20200721_02_T1,2020-07-21,2020,7,2020-07,Landsat 8,10.98,144,51
LC08_L2SP_144051_20201110_02_T1,LC08_L2SP_144051_20201110_02_T1,2020-11-10,2020,11,2020-11,Landsat 8,3.97,144,51
LC08_L2SP_144051_20201212_02_T1,LC08_L2SP_144051_20201212_02_T1,2020-12-12,2020,12,2020-12,Landsat 8,1.82,144,51
LC08_L2SP_144051_20210129_02_T1,LC08_L2SP_144051_20210129_02_T1,2021-01-29,2021,1,2021-01,Landsat 8,2.12,144,51
LC08_L2SP_144051_20210214_02_T1,LC08_L2SP_144051_20210214_02_T1,2021-02-14,2021,2,2021-02,Landsat 8,0.11,144,51
LC08_L2SP_144051_20210302_02_T1,LC08_L2SP_144051_20210302_02_T1,2021-03-02,2021,3,2021-03,Landsat 8,0.0,144,51
LC08_L2SP_144051_20210403_02_T1,LC08_L2SP_144051_20210403_02_T1,2021-04-03,2021,4,2021-04,Landsat 8,0.28,144,51
LC08_L2SP_144051_20210419_02_T1,LC08_L2SP_144051_20210419_02_T1,2021-04-19,2021,4,2021-04,Landsat 8,0.92,144,51
LC08_L2SP_144051_20210505_02_T1,LC08_L2SP_144051_20210505_02_T1,2021-05-05,2021,5,2021-05,Landsat 8,11.96,144,51
LC09_L2SP_144051_20211223_02_T1,LC09_L2SP_144051_20211223_02_T1,2021-12-23,2021,12,2021-12,Landsat 9,7.84,144,51
LC09_L2SP_144051_20220124_02_T1,LC09_L2SP_144051_20220124_02_T1,2022-01-24,2022,1,2022-01,Landsat 9,4.3,144,51
LC08_L2SP_144051_20220201_02_T1,LC08_L2SP_144051_20220201_02_T1,2022-02-01,2022,2,2022-02,Landsat 8,19.96,144,51
LC08_L2SP_144051_20220217_02_T1,LC08_L2SP_144051_20220217_02_T1,2022-02-17,2022,2,2022-02,Landsat 8,12.83,144,51
LC09_L2SP_144051_20220225_02_T1,LC09_L2SP_144051_20220225_02_T1,2022-02-25,2022,2,2022-02,Landsat 9,0.01,144,51
LC08_L2SP_144051_20220305_02_T1,LC08_L2SP_144051_20220305_02_T1,2022-03-05,2022,3,2022-03,Landsat 8,0.78,144,51
LC08_L2SP_144051_20220321_02_T1,LC08_L2SP_144051_20220321_02_T1,2022-03-21,2022,3,2022-03,Landsat 8,2.2,144,51
LC08_L2SP_144051_20220406_02_T1,LC08_L2SP_144051_20220406_02_T1,2022-04-06,2022,4,2022-04,Landsat 8,0.63,144,51
LC08_L2SP_144051_20220422_02_T1,LC08_L2SP_144051_20220422_02_T1,2022-04-22,2022,4,2022-04,Landsat 8,17.63,144,51
LC09_L2SP_144051_20220430_02_T1,LC09_L2SP_144051_20220430_02_T1,2022-04-30,2022,4,2022-04,Landsat 9,17.94,144,51
LC08_L2SP_144051_20220609_02_T1,LC08_L2SP_144051_20220609_02_T1,2022-06-09,2022,6,2022-06,Landsat 8,12.45,144,51
LC09_L2SP_144051_20221023_02_T1,LC09_L2SP_144051_20221023_02_T1,2022-10-23,2022,10,2022-10,Landsat 9,4.04,144,51
LC08_L2SP_144051_20221031_02_T1,LC08_L2SP_144051_20221031_02_T1,2022-10-31,2022,10,2022-10,Landsat 8,2.43,144,51
LC08_L2SP_144051_20230103_02_T1,LC08_L2SP_144051_20230103_02_T1,2023-01-03,2023,1,2023-01,Landsat 8,7.65,144,51
LC09_L2SP_144051_20230111_02_T1,LC09_L2SP_144051_20230111_02_T1,2023-01-11,2023,1,2023-01,Landsat 9,0.04,144,51
LC08_L2SP_144051_20230119_02_T1,LC08_L2SP_144051_20230119_02_T1,2023-01-19,2023,1,2023-01,Landsat 8,0.06,144,51
