pocket_id,pixel_count,area_ha,mean_lst_celsius,max_lst_celsius
1,1058,95.22,33.30887985229492,36.2235107421875
2,328,29.52,33.45546340942383,35.406585693359375
3,32,2.88,32.885379791259766,33.577972412109375
5,24,2.16,32.37039566040039,32.94903564453125
6,38,3.42,32.26074981689453,32.54571533203125
9,53,4.77,32.6986198425293,33.499359130859375
15,89,8.01,33.822017669677734,36.018402099609375
18,25,2.25,33.15754318237305,34.490570068359375
21,45,4.05,32.43967056274414,33.03448486328125
22,20,1.7999999999999998,32.41019058227539,32.71661376953125
29,58,5.22,32.89311599731445,33.806976318359375
31,115,10.35,32.66263961791992,33.577972412109375
36,53,4.77,32.993988037109375,34.053070068359375
38,128,11.52,33.086647033691406,34.364105224609375
39,27,2.4299999999999997,32.604705810546875,33.201995849609375
41,85,7.6499999999999995,32.5583381652832,33.612152099609375
42,149,13.41,32.71072006225586,34.391448974609375
44,24,2.16,32.2026252746582,32.36456298828125
45,194,17.46,32.97298812866211,34.586273193359375
46,21,1.89,32.44301223754883,32.90460205078125
50,20,1.7999999999999998,32.3903694152832,32.67218017578125
52,102,9.18,32.99810028076172,34.695648193359375
53,26,2.34,32.41648864746094,32.86700439453125
55,274,24.66,33.091552734375,36.3636474609375
56,32,2.88,32.541015625,33.10284423828125
57,111,9.99,32.93278121948242,34.719573974609375
60,382,34.379999999999995,33.27703094482422,35.013519287109375
61,295,26.55,33.67159652709961,37.440338134765625
64,199,17.91,32.935523986816406,34.832366943359375
65,187,16.83,32.79508590698242,34.651214599609375
73,285,25.65,32.929866790771484,34.302581787109375
74,41,3.69,32.7275390625,33.601898193359375
75,43,3.8699999999999997,32.51169204711914,33.769378662109375
80,20,1.7999999999999998,32.68670654296875,33.01739501953125
82,126,11.34,32.9365119934082,34.159027099609375
83,26,2.34,32.32249069213867,32.64825439453125
85,27,2.4299999999999997,33.185020446777344,33.943695068359375
89,165,14.85,32.932823181152344,34.329925537109375
93,22,1.98,32.885345458984375,33.882171630859375
96,35,3.15,32.55078887939453,33.222503662109375
98,50,4.5,32.623714447021484,33.355804443359375
102,22,1.98,32.35026931762695,32.72003173828125
103,59,5.31,33.11328125,34.483734130859375
104,20,1.7999999999999998,32.43821334838867,32.81231689453125
107,20,1.7999999999999998,33.04014205932617,33.779632568359375
111,154,13.86,33.05307388305664,34.705902099609375
113,52,4.68,32.56983184814453,33.314788818359375
117,26,2.34,32.49747085571289,32.86700439453125
118,39,3.51,32.32756805419922,32.55255126953125
119,215,19.349999999999998,32.9385986328125,34.569183349609375
120,29,2.61,32.776493072509766,33.372894287109375
129,57,5.13,32.794090270996094,34.059906005859375
130,24,2.16,32.6717529296875,33.280609130859375
137,22,1.98,32.71444320678711,33.222503662109375
138,65,5.85,32.764366149902344,34.261566162109375
139,68,6.12,32.61914825439453,33.574554443359375
140,36,3.2399999999999998,33.43097686767578,35.013519287109375
143,21,1.89,32.36586380004883,32.74053955078125
144,30,2.6999999999999997,33.01637649536133,34.582855224609375
146,86,7.739999999999999,33.25444030761719,34.733245849609375
151,27,2.4299999999999997,32.349239349365234,32.58673095703125
154,44,3.96,32.9164924621582,33.902679443359375
158,20,1.7999999999999998,32.3177375793457,32.59698486328125
159,32,2.88,33.07743835449219,34.579437255859375
160,76,6.84,33.228240966796875,35.184417724609375
165,46,4.14,33.64401626586914,35.816741943359375
166,49,4.41,33.9309196472168,35.844085693359375
167,125,11.25,33.42068099975586,35.314300537109375
170,21,1.89,32.36488723754883,32.54229736328125
173,51,4.59,32.654422760009766,33.892425537109375
175,20,1.7999999999999998,32.74652862548828,33.765960693359375
176,44,3.96,32.87710189819336,34.107757568359375
177,82,7.38,32.89176940917969,33.673675537109375
178,20,1.7999999999999998,32.429840087890625,32.81915283203125
179,315,28.349999999999998,32.73545455932617,33.629241943359375
180,30,2.6999999999999997,33.01000213623047,34.336761474609375
183,20,1.7999999999999998,32.6561164855957,33.11309814453125
184,49,4.41,32.453426361083984,32.87042236328125
188,105,9.45,33.319393157958984,35.785980224609375
189,27,2.4299999999999997,33.03171157836914,34.299163818359375
194,146,13.139999999999999,32.94162368774414,34.548675537109375
199,245,22.05,34.669593811035156,38.270904541015625
200,39,3.51,32.83861541748047,34.141937255859375
203,28,2.52,32.443294525146484,33.01397705078125
204,1291,116.19,33.40451431274414,35.823577880859375
205,40,3.5999999999999996,32.9609260559082,33.564300537109375
206,20,1.7999999999999998,32.913330078125,34.039398193359375
208,20,1.7999999999999998,32.90632629394531,33.629241943359375
218,67,6.029999999999999,32.557395935058594,33.13702392578125
219,44,3.96,32.48721694946289,33.249847412109375
220,35,3.15,32.44600296020508,33.167816162109375
221,54,4.859999999999999,32.93891143798828,33.967620849609375
222,45,4.05,34.23019027709961,36.5174560546875
224,31,2.79,32.27635192871094,32.47393798828125
226,149,13.41,32.911354064941406,34.333343505859375
227,143,12.87,32.63702392578125,33.871917724609375
228,21,1.89,32.38148880004883,32.76104736328125
229,21,1.89,32.36146926879883,32.66876220703125
235,111,9.99,32.63380813598633,33.280609130859375
236,48,4.32,32.7124137878418,33.174652099609375
239,162,14.58,33.605831146240234,36.2542724609375
